time,day,num
0,5,560
0,1,518
0,6,629
0,7,687
0,4,479
0,2,495
0,3,537
1,5,378
1,1,317
1,6,461
1,7,442
1,4,342
1,2,413
1,3,359
2,5,280
2,1,250
2,6,342
2,7,320
2,4,280
2,2,274
2,3,225
3,5,219
3,1,221
3,6,272
3,7,287
3,4,222
3,2,225
3,3,251
4,5,180
4,1,193
4,6,194
4,7,231
4,4,171
4,2,166
4,3,177
5,5,197
5,1,215
5,6,197
5,7,180
5,4,184
5,2,237
5,3,224
6,5,162
6,1,152
6,6,129
6,7,125
6,4,176
6,2,176
6,3,146
7,5,111
7,1,107
7,6,122
7,7,65
7,4,115
7,2,136
7,3,116
8,5,118
8,1,85
8,6,110
8,7,98
8,4,89
8,2,105
8,3,98
9,5,130
9,1,115
9,6,145
9,7,108
9,4,119
9,2,119
9,3,122
10,5,163
10,1,134
10,6,181
10,7,170
10,4,132
10,2,129
10,3,132
11,5,136
11,1,140
11,6,186
11,7,149
11,4,127
11,2,116
11,3,121
12,5,163
12,1,162
12,6,210
12,7,165
12,4,146
12,2,167
12,3,161
13,5,156
13,1,131
13,6,209
13,7,182
13,4,147
13,2,136
13,3,150
14,5,146
14,1,144
14,6,202
14,7,204
14,4,127
14,2,164
14,3,136
15,5,177
15,1,144
15,6,210
15,7,216
15,4,177
15,2,143
15,3,156
16,5,179
16,1,160
16,6,227
16,7,239
16,4,200
16,2,194
16,3,188
17,5,313
17,1,279
17,6,397
17,7,319
17,4,321
17,2,321
17,3,321
18,5,462
18,1,481
18,6,592
18,7,503
18,4,482
18,2,540
18,3,450
19,5,797
19,1,690
19,6,870
19,7,723
19,4,767
19,2,805
19,3,757
20,5,1121
20,1,983
20,6,1311
20,7,1062
20,4,1105
20,2,1020
20,3,1109
21,5,1513
21,1,1199
21,6,1848
21,7,1355
21,4,1533
21,2,1333
21,3,1444
22,5,1415
22,1,1127
22,6,1829
22,7,1279
22,4,1214
22,2,1166
22,3,1296
23,5,1004
23,1,763
23,6,1310
23,7,963
23,4,869
23,2,808
23,3,870
