datetime,city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude
10/1/1993 20:00,pryor,mt,us,light,1800,20-30 minutes,Floating Light&#44 Like a Spotlight,11/3/2005,45.4297222,-108.5325000
10/12/1999 01:30,missoula,mt,us,triangle,60,1 minute,Some of my friend and I were outside&#44 smoking when something flew over us. It looked like an airplane at first&#44 but it was to big&#44 and,11/23/1999,46.8722222,-113.9930556
10/12/2011 21:00,zortman,mt,us,light,1800,30 mins,Small bright yellow white light forming into three. making a loud roaring noise.,10/19/2011,47.9177778,-108.5255556
10/13/2008 21:30,butte,mt,us,,3600,1 hour,40-50 lights flying over Butte Montana in a V formation,10/31/2008,46.0038889,-112.5338889
10/14/1995 22:30,troy,mt,us,,2,2 sec.,Two women witness green obj&#44 &quot;size of full moon&#44&quot; fly directly toward them&#44 descend from SE.  Illuminated trees on top of mtn..,11/2/1999,48.4633333,-115.8886111
10/14/2005 19:45,lincoln (east of),mt,us,egg,1800,15-30 minutes,egg/circle shaped&#44 red/yellow/white lights - west of Lincoln tonight,10/20/2005,46.9550000,-112.6808333
10/15/1975 22:00,ryegate (south of),mt,us,circle,3600,1 hour,10/15/75. Round shape&#44 extremely bright white light&#44 took off (up) when I told it to &quot;come get me&quot;.,10/31/2003,46.2972222,-109.2580556
10/15/1987 22:30,baker,mt,us,light,600,5 to 10 min,bright light came out from behind a cloud and split off into 6 smaller lights leaving at a high speed,5/24/2005,46.3669444,-104.2841667
10/15/1993 00:00,butte,mt,us,sphere,30,30 secs,A hovering object in the vicinity of &quot;The Lady of the Mountains&quot;.,10/31/2003,46.0038889,-112.5338889
10/15/2002 20:10,rexford,mt,us,chevron,30,30 sec,Twelve chevron shaped crafts spotte over Lake Koocanusa&#44 Montana.,10/28/2002,48.8994444,-115.1711111
10/15/2004 06:55,great falls,mt,us,unknown,2,seconds,5 or 6 elliptical lights appear in front of truck and then suddenly move over it and disappear,10/27/2004,47.5002778,-111.3000000
10/15/2006 18:00,kalispell,mt,us,teardrop,1200,about 20 min,Mettalic&#44 teardrop shaped object hover in the sky above house,4/27/2007,48.1958333,-114.3119444
10/15/2007 20:00,wolf point,mt,us,fireball,30,30 seconds,Bright large orb with bright light shining to ground&#44 lasted only 30 seconds.,11/28/2007,48.0905556,-105.6400000
