datetime,city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude
10/10/1976 20:30,washougal,wa,us,oval,60,1 minute,Three extremely large lights hanging above nearby trees.,2/7/2014,45.5827778,-122.3522222
10/10/1988 22:45,seattle (ballard area),wa,us,unknown,2,2 sec.,Two adult witnesses are stunned by the sound of an object that streaks above the home they are in.,4/27/2004,47.6063889,-122.3308333
10/10/1989 21:00,centralia,wa,us,triangle,60,1 minute,A huge triangularly shaped silent object that blotted out 25 degrees of the sky&#44 lighted by four glowing points.,4/27/2004,46.7163889,-122.9530556
10/10/1998 20:30,spokane (about 30 miles sw of&#44i-90&#44 maybe mm 254),wa,us,triangle,600,10 minutes,Dark boomerange object seen for ten minutes hovering over the freeway with a bright light out the front that lit up the fields. No jet,8/5/2001,47.6588889,-117.4250000
10/10/1999 12:40,kennewick,wa,us,sphere,45,45 secs,Standing outside saying goodby to family members and pointing to Chem-Trails,10/19/1999,46.2113889,-119.1361111
10/10/2000 21:30,seattle (west),wa,us,unknown,10,10 sec,Dark object in the shape of a (4) after dusk in West Seattle,2/11/2003,47.6063889,-122.3308333
10/10/2000 22:00,port orchard,wa,us,diamond,60,1min,One night my window started to flash,5/12/2009,47.5405556,-122.6350000
10/10/2002 06:00,seattle,wa,us,sphere,90,90 seconds,Light falls from sky,10/15/2002,47.6063889,-122.3308333
10/10/2005 07:40,seattle,wa,us,other,60,one + minutes,round symetrical with roundish flat bottom shiny white colored low flying bigger than  a plane.,10/11/2005,47.6063889,-122.3308333
10/10/2005 22:08,east wenatchee,wa,us,light,1200,20 min,Strange light over East Wenatchee Washington,10/20/2005,47.4158333,-120.2919444
10/10/2008 20:00,seattle,wa,us,light,180,3 minutes,Around 8:00 pm? I Went out side and looked up at the stars and I saw a light which I thought was a small faded star  until it started t,10/31/2008,47.6063889,-122.3308333
10/10/2010 21:00,everett,wa,us,other,30,30 seconds,crown shaped object with two orange lights over everett wa,11/21/2010,47.9791667,-122.2008333
10/10/2012 20:48,yakima,wa,us,light,240,4 minutes,Noticed light in the N.E. section of the sky about 30 deg. up that did not move. About the size of Venus.  ((NUFORC Note:  Capella?  PD,10/30/2012,46.6022222,-120.5047222
10/10/2012 21:00,rochester,wa,us,light,600,10 minutes,Fleet of red UFO&#39s emerging from Mt. Rainier.,11/19/2012,46.8219444,-123.0950000
10/11/2006 11:29,lynnwood,wa,us,unknown,120,a few minutes,I noticed a very white tail behind an object traveling north in the southern sky. It appeared to be very high and far away. The object,10/30/2006,47.8211111,-122.3138889
10/11/2007 19:50,seattle,wa,us,triangle,10,10 seconds,I saw two orange colored lights&#44 close together but moving independently across the sky&#44 at high rate of speed. Then they disappeared.,11/28/2007,47.6063889,-122.3308333
10/11/2012 20:42,ravensdale,wa,us,triangle,10,10 seconds,Driving on kent kangley road I observed a triangle arrangement of lights hovering about 100 feet off the ground.  The lights were multi,10/30/2012,47.3525000,-121.9825000
10/1/1966 22:00,anacortes,wa,us,light,1200,20 mins.,20 miles driving toward Anacortes&#44a friend and I were listening to a radio station in Anacortes. The DJ said he had recieved calls abou,4/15/2000,48.5127778,-122.6113889
10/1/1972 23:00,monroe,wa,us,rectangle,900,15 min,STOP AND GO THE SIZE OF A LARG CAR WITH NO WINDOWS,1/3/2001,47.8555556,-121.9697222
10/1/1979 21:00,olympia,wa,us,disk,7200,2 hours,Dancing lights over Olympia,7/5/2008,47.0380556,-122.8994444
10/1/1990 17:00,pateros,wa,us,oval,300,05min,One Gray metal oval disc&#44 aporx. 10&#39x50&#39&#44 clear sky&#44  1 qaurter mile away,3/11/2006,48.0511111,-119.9022222
10/1/1998 02:00,nisqually,wa,us,disk,180,3 min.,burnt out disk  gets ride from trucker to air force base,11/2/2004,47.0566667,-122.7000000
10/1/2000 01:00,vaughn,wa,us,formation,540,9:00 minutes,The lights changed colors and there was a strange noise.,12/2/2000,47.3444444,-122.7619444
10/1/2001 01:05,seattle,wa,us,,1,1 sec,just a meteor sighting...,10/12/2001,47.6063889,-122.3308333
10/1/2001 22:00,lynden,wa,us,light,30,30 seconds,Outline: 1) Clear dark night.2) directly above me 3) appeared to be an orbitting satellite but was bluish and smaller than most.,7/1/2002,48.9466667,-122.4508333
10/1/2002 05:30,everson,wa,us,other,5,4-5 seconds,Among the Northern lights a bright green fireball from West to East,10/15/2002,48.9202778,-122.3413889
10/1/2002 05:30,port townsend,wa,us,fireball,10,8-10 seconds,Giant Blue-Green fireball falls from the sky at 0530 in washington state,10/15/2002,48.1172222,-122.7591667
10/1/2002 05:30,snohomish,wa,us,sphere,3,2-3 seconds,A large metor going through the atmosphere&#44 white tail turning blue and then red/orange and disapear.,10/15/2002,47.9130556,-122.0969444
10/1/2002 05:30,sumner,wa,us,circle,330,05:30,While traveling north on hwy 167. A green light traveling from the west&#44 and heading east flew across the sky. The round light appearin,10/15/2002,47.2033333,-122.2391667
10/1/2002 05:35,seattle,wa,us,unknown,1,a second?,On the morning of 10/01/02 I was driving to work on HI5 in Seattle Wa. and I was south bound by the old Rainier Brewery and saw a brigh,10/15/2002,47.6063889,-122.3308333
10/1/2002 05:42,seattle,wa,us,teardrop,3,3 seconds,Initially a comet in appearance&#44 but speed was too slow.,10/15/2002,47.6063889,-122.3308333
10/1/2002 05:43,seattle,wa,us,other,2,2 seconds,I saw a green object above Seattle&#44 at about 5:45 AM on 10/1&#44 occuring at the time of a northern lights display.,10/15/2002,47.6063889,-122.3308333
10/1/2002 05:45,kent,wa,us,unknown,10,10 seconds,STREK OF LIGHT ACROSS THE SKY,10/15/2002,47.3811111,-122.2336111
10/1/2002 05:45,lynnwood,wa,us,fireball,5,5 seconds,Large fireball sighting,10/15/2002,47.8211111,-122.3138889
10/1/2002 05:45,rainier,wa,us,light,240,3-4 min,I was taking my Boyfriend to work in yelm and as we entered onto koeppen rd and traveling north towards yelm We noticed to our left abo,10/15/2002,46.8883333,-122.6872222
10/1/2002 17:56,port hadlock,wa,us,fireball,5,5 seconds,big shooting star,10/15/2002,48.0319444,-122.7569444
10/1/2002 22:00,edmonds,wa,us,unknown,60,a minute or so,three objects in perfect triangle fomation flying at extremely high altitudes,10/15/2002,47.8108333,-122.3761111
10/1/2003 00:20,redmond,wa,us,light,2,2 seconds,Blue-White orb shoots across sky rapidly&#44 then disappears&#44 on an unusally clear&#44 calm night.,10/15/2003,47.6741667,-122.1202778
10/1/2003 21:00,bellevue,wa,us,light,10,8-10 seconds,Star seen in Seattle moves east then quickly fades away&#44 no meteor trail.,10/7/2003,47.6105556,-122.1994444
10/1/2006 17:00,onion creek,wa,us,chevron,60,one minute,i would not be entering this&#44 but reading a report from obrien&#44 ore. on oct 1&#44 changed my mind... this summer has been full of surprise,12/7/2006,48.7838889,-117.8105556
10/1/2006 20:18,fall city,wa,us,fireball,2,2 seconds,yellow/orange fireball leaving debris trail,10/30/2006,47.5675000,-121.8875000
10/1/2006 20:19,orchards,wa,us,fireball,1,1 second,Sun 10/01/2006 8:19 pm PST Metiorite descending slowly and decellerating. Left a trail of green and yellow sparks. At N80&#176;E from Orchar,10/30/2006,45.6666667,-122.5597222
10/1/2006 20:24,pullman,wa,us,circle,1,less than 1 second,Bright blue explosion followed by blue shooting object over Pullman&#44 WA,10/30/2006,46.7313889,-117.1786111
10/1/2006 20:34,seattle,wa,us,teardrop,12,12 seconds,Very large yellow teardrop-shaped disk or meteor dropping several or many miles East of Seattle&#44 Washington - watched for 12-14 seconds,10/30/2006,47.6063889,-122.3308333
