date,timestamp,year,month,count
1910-1,1910-01-01T00:00:00Z,1910,Jan,1
1910-6,1910-06-01T00:00:00Z,1910,June,1
1920-6,1920-06-01T00:00:00Z,1920,June,1
1925-12,1925-12-01T00:00:00Z,1925,Dec,1
1929-7,1929-07-01T00:00:00Z,1929,July,1
1931-2,1931-02-01T00:00:00Z,1931,Feb,1
1931-6,1931-06-01T00:00:00Z,1931,June,1
1934-9,1934-09-01T00:00:00Z,1934,Sept,1
1936-10,1936-10-01T00:00:00Z,1936,Oct,1
1937-6,1937-06-01T00:00:00Z,1937,June,1
1937-8,1937-08-01T00:00:00Z,1937,Aug,1
1939-6,1939-06-01T00:00:00Z,1939,June,2
1939-7,1939-07-01T00:00:00Z,1939,July,1
1941-6,1941-06-01T00:00:00Z,1941,June,1
1942-6,1942-06-01T00:00:00Z,1942,June,1
1942-7,1942-07-01T00:00:00Z,1942,July,1
1943-10,1943-10-01T00:00:00Z,1943,Oct,1
1944-1,1944-01-01T00:00:00Z,1944,Jan,1
1944-4,1944-04-01T00:00:00Z,1944,April,1
1944-6,1944-06-01T00:00:00Z,1944,June,1
1945-6,1945-06-01T00:00:00Z,1945,June,2
1945-7,1945-07-01T00:00:00Z,1945,July,2
1945-8,1945-08-01T00:00:00Z,1945,Aug,2
1945-12,1945-12-01T00:00:00Z,1945,Dec,1
1946-1,1946-01-01T00:00:00Z,1946,Jan,1
1946-2,1946-02-01T00:00:00Z,1946,Feb,1
1946-3,1946-03-01T00:00:00Z,1946,Mar,1
1946-6,1946-06-01T00:00:00Z,1946,June,2
1946-7,1946-07-01T00:00:00Z,1946,July,1
1946-9,1946-09-01T00:00:00Z,1946,Sept,2
1947-1,1947-01-01T00:00:00Z,1947,Jan,1
1947-2,1947-02-01T00:00:00Z,1947,Feb,1
1947-4,1947-04-01T00:00:00Z,1947,April,1
1947-6,1947-06-01T00:00:00Z,1947,June,10
1947-7,1947-07-01T00:00:00Z,1947,July,16
1947-8,1947-08-01T00:00:00Z,1947,Aug,3
1947-12,1947-12-01T00:00:00Z,1947,Dec,1
1948-5,1948-05-01T00:00:00Z,1948,May,1
1948-6,1948-06-01T00:00:00Z,1948,June,2
1948-7,1948-07-01T00:00:00Z,1948,July,1
1948-8,1948-08-01T00:00:00Z,1948,Aug,2
1948-12,1948-12-01T00:00:00Z,1948,Dec,1
1949-4,1949-04-01T00:00:00Z,1949,April,1
1949-5,1949-05-01T00:00:00Z,1949,May,2
1949-6,1949-06-01T00:00:00Z,1949,June,2
1949-7,1949-07-01T00:00:00Z,1949,July,3
1949-8,1949-08-01T00:00:00Z,1949,Aug,4
1949-9,1949-09-01T00:00:00Z,1949,Sept,1
1949-10,1949-10-01T00:00:00Z,1949,Oct,2
1950-1,1950-01-01T00:00:00Z,1950,Jan,1
1950-6,1950-06-01T00:00:00Z,1950,June,12
